id,parentId,priority,title,prevId
1,0,0,Бакалаврат,
2,1,0,1 курс,
3,1,0,2 курс,
4,1,0,3 курс,
5,1,0,4 курс,
11,2,0,1 семестр,
12,2,0,2 семестр,
13,3,0,1 семестр,
14,3,0,2 семестр,
15,4,0,1 семестр,
16,4,0,2 семестр,
17,5,0,1 семестр,
18,5,0,2 семестр,
19,11,0,Iсторiя України ,
20,11,0,Комп’ютерна дискретна математика,
21,11,0,Лiнiйна алгебра та аналiтична геометрiя,
22,11,0,Математичний аналiз 1. Диференцiальнi обчислення,
23,11,0,Основи програмної iнженерiї,
24,11,0,Основи програмування 1. Основнi конструкцiї програмування,
25,11,0,Офiсне програмне забезпечення,
26,12,0,Алгоритми та структури даних,
27,12,0,Групова динамика i комунiкацiї,
28,12,0,Дискретнi структури,20
29,12,0,Iноземна мова 1. Вступ до загальнотехнiчної iноземної мови,
30,12,0,Комп’ютерна логiка,
31,12,0,Математичний аналiз 2. Iнтегральнi обчислення,22
32,12,0,Основи програмування 2. Фундаментальнi структури даних,24
33,12,0,Професiйна практика програмної iнженерiї,23
34,12,0,Українська мова (за професiйним спрямуванням),
35,13,0,Web-дизайн,
36,13,0,Архiтектура комп’ютера,30
37,13,0,Людино-машинна взаємодiя,
38,13,0,Об’єктно-орiєнтовне програмування 1. Основи об’єктно-орiєнтовного програмування,32
39,13,0,Операцiйнi системи 1. Основнi компоненти операцiйних систем,
40,13,0,Теорiя ймовiрностi та математична статистика,
41,13,0,Фiзика (вибранi роздiли),31
42,13,0,Фiлософiя,
43,14,0,Бази даних 1. Проектування баз даних,
44,14,0,Екологiя,
45,14,0,Емпiричнi методи програмної iнженерiї,40
46,14,0,Iноземна мова 2.Iноземна мова загальнотехнiчного спрямування,29
47,14,0,Комп’ютерна схемотехнiка,36
48,14,0,Конструювання програмного забезпечення,
49,14,0,Об’єктно-орiєнтоване програмування 2. Об’єктно-орiєнтоване проектування,38
50,14,0,Операцiйнi системи 2. Проектування компонентiв операцiйних систем,39
51,14,0,Психологiя,
52,14,0,Теорiя алгоритмiв,
53,15,0,Бази даних 2. Програмнi додатки з використанням баз даних,43
54,15,0,Аналiз вимог до програмного забезпечення,48
55,15,0,Безпека життєдiяльностi,
56,15,0,Декларативне програмування,
57,15,0,Логiка,
58,15,0,Моделювання та аналiз програмного забезпечення,54
59,15,0,Основи економiчної теорiї,
60,15,0,Паралельне програмування 1. Основи паралельного програмування,
61,16,0,Архiтектура та проектування програмного забезпечення,58
62,16,0,Економiка програмного забезпечення,59
63,16,0,Iноземна мова професiйного спрямування 1. Iноземна мова професiйного спрямування,46
64,16,0,Iсторiя української культури,
65,16,0,Органiзацiя комп’ютерних мереж,
66,16,0,Паралельне програмування 2. Програмування для паралельних систем,60
67,16,0,Правознавство,
68,16,0,Системи обробки iнформацiї,
69,16,0,Теоретичнi основи лексичного та синтаксичного аналiзу,52
70,17,0,Безпека програм та даних,
71,17,0,Графiчне та геометричне моделювання,
72,17,0,Iноземна мова професiйного спрямування 2.Iноземна мова для проф.-орiєнт. спiлкування. Дiлове мовлення,63
73,17,0,Моделювання систем,52
74,17,0,Полiтологiя,
75,17,0,Програмування Iнтернет,
76,17,0,Технологiї розробки корпоративних застосувань,53
77,17,0,Якiсть програмного забезпечення та тестування,61
78,18,0,Багатопотокове програмування на Java,66
79,18,0,Основи охорони працi,55
80,18,0,Проектний практикум,
81,18,0,Технологiї розподiлених систем та паралельних обчислень,65
