id,parentId,priority,title
1901,19,1,Історіософські концепції щодо формування й розвитку українського етносу. Формування та розвиток історико-етнографічних регіонів України.
1902,19,2,Етнополітика та її особливості в різні періоди життя українського народу.
1903,19,3,Етнополітичні аспекти української історії нового і новітнього періоду.
1904,19,4,Історичні аспекти міграційних явищ в Україні. Українська діаспора.
1905,19,5,Основні закономірності; сутність початкових етапів процесу українського державотворення.
1906,19,6,Еволюція українського державотворення в 1917-1920 рр. Пошук оптимальних моделей державного будівництва.
1907,19,7,Державотворчі процеси в Україні у радянський період, їх історичне місце.
1908,19,8,Державотворчі процеси в умовах незалежності України.
1909,19,9,Україна і світ: геополітичні фактори, зовнішньополітичні орієнтації в історичній ретроспективі.
1910,19,10,Соціальна структура, соціальні відносини у добу середньовіччя та нової історії.
1911,19,11,Формування та діяльність громадських та політичних організацій в українському суспільстві.
1912,19,12,Об’єктивні умови і суб’єктивні фактори в суспільно-політичному житті українського народу в радянський період.
1913,19,13,Суспільно-політичні трансформації в незалежній Україні.
1914,19,14,Особливості історії культури українського народу в давні часи і добу середньовіччя.
1915,19,15,Історико-культурні процеси в Україні нової і новітньої доби.
1916,19,16,Культурне життя сучасної України.
1917,19,17,Науково-технічна галузь України в умовах глобалізації
2001,20,1,Теорія множин
2002,20,2,Відношення
2003,20,3,Відображення і функції
2004,20,4,Відношення еквівалентності і порядку
2005,20,5,Потужність множин
2006,20,6,Булеві функції
2007,20,7,Принцип двоїстості. Нормальні форми
2008,20,8,Мінімальні нормальні форми
2009,20,9,Повні системи функцій
2010,20,10,Нечіткі множини та нечітка логіка
2011,20,11,Формальні системи
2012,20,12,Числення висловлювань
2013,20,13,Логіка першого порядку
2014,20,14,Числення предикатів
2015,20,15,Комбінаторні задачі
2016,20,16,Біноміальні коефіцієнти. Розбиття
2017,20,17,Алгоритми комбінаторики
2018,20,18,Алфавітне й рівномірне кодування
2019,20,19,Кодування стійке до завад. Стиск даних
2020,20,20,Шифрування
2101,21,1,Матриці, визначники та системи лінійних рівнянь.
2102,21,2,Векторна алгебра
2103,21,3,Аналітична геометрія на площині та в просторі
2104,21,4,Лінійні простори та лінійні оператори. Квадратичні форми
2201,22,1,Вступ до математичного аналізу.
2202,22,2,Диференціальне числення та його застосування.
2203,22,3,Невизначений інтеграл.
2204,22,4,Визначений інтеграл.
2301,23,1,Піднесення числа до степеня
2302,23,2,Знаходження коренів квадратного рівняння
2303,23,3,Робота з масивами
2304,23,4,Робота зістеком
2401,24,1,Архітектурні особливості сучасних комп'ютерів
2402,24,2,Арифметичні основи комп’ютера
2403,24,3,Подання даних в комп’ютері
2404,24,4,Види програмного забезпечення комп'ютерів
2405,24,5,Основи алгоритмізації обчислювальних процесів
2406,24,6,Формальні мови та граматики
2407,24,7,Мови програмування та їх класифікація
2408,24,8,Технологія обробки тексту програми
2409,24,9,Середовище створення програм Microsoft Visual Studio
2410,24,10,Методологічні основи програмування
2411,24,11,Основи організації програм
2412,24,12,Типізація даних
